Date,A&E attendances Type 1,A&E attendances Type 2,A&E attendances Other A&E Department,Total A&E attendances
01/06/2015,"7,036",0,773,7809
01/07/2015,"7,422",0,777,8199
01/08/2015,"7,440",0,616,8056
01/09/2015,"7,340",0,733,8073
01/10/2015,"7,536",0,740,8276
01/11/2015,"7,646",0,696,8342
01/12/2015,"8,016",0,633,8649
01/01/2016,"7,954",0,581,8535
01/02/2016,"7,719",0,683,8402
01/03/2016,"8,553",0,703,9256
01/04/2016,"7,832",0,677,8509
01/05/2016,"8,527",0,784,9311
01/06/2016,"8,127",0,804,8931
01/07/2016,"8,819",0,834,9653
01/08/2016,"7,835",0,781,8616
01/09/2016,"7,872",0,797,8669
01/10/2016,"8,055",0,757,8812
01/11/2016,"7,912",0,758,8670
01/12/2016,"8,206",0,598,8804
01/01/2017,"7,547",0,637,8184
01/02/2017,"6,853",0,673,7526
01/03/2017,"7,832",0,828,8660
01/04/2017,"11,378",0,688,12066
01/05/2017,"12,300",0,815,13115
01/06/2017,"11,931",0,797,12728
01/07/2017,"12,348",0,766,13114
01/08/2017,"11,300",0,755,12055
01/09/2017,"11,392",0,777,12169
01/10/2017,"11,896",0,780,12676
01/11/2017,"11,450",0,729,12179
01/12/2017,"12,005",0,574,12579
01/01/2018,"11,584",0,733,12317
01/02/2018,"10,542",0,663,11205
01/03/2018,"12,154",0,683,12837
01/04/2018,11573,0,720,12293
01/05/2018,12954,0,863,13817
01/06/2018,12283,0,899,13182
01/07/2018,13058,0,929,13987
01/08/2018,12395,0,735,13130
01/09/2018,12300,0,749,13049
01/10/2018,12219,0,865,13084
01/11/2018,12473,0,822,13295
01/12/2018,12690,0,643,13333
01/01/2019,13032,0,723,13755
01/02/2019,12285,0,712,12997
01/03/2019,13291,0,917,14208
01/04/2019,13115,0,789,13904
01/05/2019,13449,0,818,14267
01/06/2019,13473,0,786,14259
01/07/2019,14043,0,899,14942
01/08/2019,13632,0,798,14430
01/09/2019,13349,0,891,14240
01/10/2019,13651,0,814,14465
01/11/2019,13390,0,808,14198
01/12/2019,13891,0,616,14507
01/01/2020,13366,0,775,14141
01/02/2020,12687,0,729,13416
01/03/2020,10506,0,568,11074
01/04/2020,7297,0,21,7318
01/05/2020,10323,0,0,10323
01/06/2020,11225,0,0,11225
01/07/2020,12359,0,0,12359
01/08/2020,12544,0,0,12544
01/09/2020,12539,0,0,12539
01/10/2020,12399,0,0,12399
01/11/2020,11638,0,0,11638
01/12/2020,11102,0,0,11102
01/01/2021,9949,0,0,9949
01/02/2021,9933,0,0,9933
01/03/2021,12703,0,0,12703
01/04/2021,14026,0,0,14026
01/05/2021,15474,0,0,15474
01/06/2021,15899,0,0,15899
01/07/2021,11973,0,5220,17193
01/08/2021,11173,0,4309,15482
01/09/2021,11516,0,4613,16129
01/10/2021,12132,0,4760,16892
01/11/2021,11338,0,4641,15979
01/12/2021,11220,0,4034,15254
01/01/2022,10916,0,4085,15001
01/02/2022,10285,0,3927,14212
01/03/2022,12000,0,5106,17106
01/04/2022,11113,0,4624,15737
01/05/2022,12278,0,5533,17811
01/06/2022,12077,0,4858,16935
01/07/2022,12535,0,4543,17078
01/08/2022,11385,0,4320,15705
01/09/2022,11626,0,4653,16279
01/10/2022,12644,0,4414,17058
01/11/2022,12948,0,4375,17323
01/12/2022,13719,0,4518,18237
01/01/2023,11363,0,3818,15181
01/02/2023,10836,0,4127,14963
01/03/2023,12312,0,4593,16905
01/04/2023,11396,0,3864,15260
01/05/2023,12305,0,4624,16929
01/06/2023,12370,0,4844,17214
01/07/2023,12740,0,4535,17275
01/08/2023,12433,0,4306,16739
01/09/2023,12387,0,4761,17148
01/10/2023,12636,0,4548,17184
01/11/2023,12899,0,4390,17289
01/12/2023,12895,0,4085,16980
01/01/2024,12930,0,4464,17394
01/02/2024,12573,0,4219,16792
01/03/2024,13327,0,4950,18277
01/04/2024,12628,0,4569,17197
01/05/2024,13386,0,4879,18265
01/06/2024,13873,0,5048,18921
01/07/2024,14267,0,4913,19180
01/08/2024,13526,0,4324,17850
01/09/2024,13806,0,4577,18383
01/10/2024,14981,0,4400,19381
01/11/2024,14924,0,4326,19250
01/12/2024,15552,0,4302,19854
